affiliation,ror_id,predicted_ror_id,prediction_score,match_type,fallback_queries
Microsoft,https://ror.org/00d0nc645,https://ror.org/001dd4s60,1.0,crf_fallback,Microsoft
Complutense University of Madrid,https://ror.org/02p0gd045,https://ror.org/02p0gd045,1.0,marple,
Kumabou Metal Co,,,,no_match,Kumabou Metal Co
Laboratoire Atmosphères,https://ror.org/05ppf7q77,https://ror.org/04cr3xz70,0.5816671416666667,marple,
School of Electronics and Information Engineering Xian Jiaotong University,https://ror.org/017zhmm22,https://ror.org/017zhmm22,1.0,marple,
Maternal and Child Health Care of Shandong Province,,,,no_match,Maternal and Child Health Care of Shandong Province
National Key R&D Program of China,,,,no_match,National Key R & D Program of China
China Mobile  Hangzhou  Information Technology Co,https://ror.org/05gftfe97,,,no_match,China Mobile Hangzhou Information Technology Co
City College of the City University of New York,https://ror.org/00453a208,https://ror.org/00453a208,1.0,marple,
Department Of Molecular And Comparative Pathobiology - Johns Hopkins University,https://ror.org/00za53h95,https://ror.org/00za53h95,1.0,marple,
Harvard University T H Chan School Of Public Health,https://ror.org/03vek6s52,https://ror.org/03vek6s52,1.0,marple,
"Español de Oceanografía (IEO, CSIC), Centro Oceanográfico de Baleares (COB), Ecosystem Oceanography Group (GRECO). Moll de Ponet s/n, 07190 Palma, Balearic Islands, Spain.",https://ror.org/00f3x4340,,,no_match,"Español de Oceanografía ( IEO, Spain.; CSIC ), Spain.; Centro Oceanográfico de Baleares ( COB ), Spain.; Ecosystem Oceanography Group ( GRECO ). Moll de Ponet s / n, Spain."
"Icahn School of Medicine at Mount Sinai, United States",https://ror.org/04a9tmd77,https://ror.org/04a9tmd77,1.0,marple,
Università degli Studi dell'Insubria; European Commission JRC,https://ror.org/00s409261; https://ror.org/00k4n6c32,https://ror.org/00s409261,1.0,marple,
China Academy of Aerospace Science and Innovation,,,,no_match,China Academy of Aerospace Science and Innovation
Accelink Technologies Co Ltd,,,,no_match,Accelink Technologies Co Ltd
Shanghai XunTai Quantech Co,,,,no_match,Shanghai XunTai Quantech Co
